Roller Coaster,Amusement Park,Type,Design,Status,Opened
Air Coaster,Fantastic Park,Steel,Sit Down,,2015-01-01
Air Coaster,Star Park Lunapark,Steel,Sit Down,Operating,2020-01-01
Aircraft,Le Fleury,Steel,Sit Down,Operating,2017-01-01
Air Grover,Busch Gardens Tampa,Steel,Sit Down,Operating,2010-01-01
Airplane Coaster,Playland Park,Wood,Sit Down,,1928-01-01
Air Pogo,Adventure Island,Steel,Suspended,Operating,2006-01-01
AirSea Battle,Qingdao Sunac Land,Steel,Inverted,Operating,2018-01-01
Aladdin Coaster,Alibaba City,Steel,Sit Down,,1992-01-01
Aladdin Coaster,Sinbad Land,Steel,Sit Down,Operating,2015-01-01
Alap Alap,Dunia Fantasi,Steel,Sit Down,Operating,1986-01-01
Alavi Park Sled,Alavi Amusement Park,Steel,Sit Down,Operating,2015-01-01
Alexandros,Ta Aidonakia Luna Park,Steel,Sit Down,Operating,2002-01-01
Ali Baba Coaster,Gloria's Fantasyland,Steel,Sit Down,Operating,2009-01-01
Alien,Fun Park Biograd,Steel,Sit Down,Operating,2017-01-01
Alien Taxi,Trans Studio Cibubur,Steel,Sit Down,Operating,2019-01-01
All American Coaster,Brookhaven Exchange Club Park,Steel,Sit Down,Operating,1971-01-01
Allgäu Coaster,Das Höchste,Steel,Sit Down,Operating,2005-01-01
All Speeds,Sunac Land Chengdu,Steel,Sit Down,Under Construction,2021-01-01
Allwetterbobbahn,WurzelRudi's ErlebnisWelt,Steel,Sit Down,Operating,2000-01-01
Alma Qurdu,Gancland Park,Steel,Sit Down,Operating,2015-01-01
Alpbachtaler Lauser Sauser,Ski Juwel Alpbachtal Wildschönau,Steel,Sit Down,Operating,2017-01-01
Alpebanen,Tivoli Karolinelund,Steel,Sit Down,,1953-01-01
Alpenblitz,Bobbejaanland,Steel,Sit Down,,1979-01-01
Alpen Blitz,Parque de la Ciudad,Steel,Sit Down,,1983-01-01
Alpen Blitz,Six Flags Great Adventure,Steel,Sit Down,,1976-01-01
Alpen Blitz,Playcenter São Paulo,Steel,Sit Down,,1989-01-01
Alpenblitz,Movie Park Germany,Steel,Sit Down,,1986-01-01
Alpenblitz,Gorky Park,Steel,Sit Down,,
Alpen Blitz,Queens Land,Steel,Sit Down,Operating,2007-01-01
Alpen Blitz,Funland Park,Steel,Sit Down,,
Alpen Blizzard,Alpen Park,Steel,Sit Down,Operating,2012-01-01
Alpen-Coaster,Safariland Stukenbrock,Steel,Sit Down,,
Alpen Express,Hòn Dáu Resort,Steel,Sit Down,Operating,2013-01-01
Alpenexpress Enzian,Europa Park,Steel,Sit Down,Operating,1984-01-01
Alpengeist,Busch Gardens Williamsburg,Steel,Inverted,Operating,1997-01-01
Alpenroller,Schliersbergalm,Steel,Sit Down,Operating,
Alpesibob,Visegrádi Bobpálya,Steel,Sit Down,Operating,2002-01-01
Alpha 8,Escape Theme Park,Steel,Sit Down,,
Alpina Blitz,Nigloland,Steel,Sit Down,Operating,2014-01-01
Alpina Bobs,Holly Park,Steel,Sit Down,,2001-01-01
Alpin Bob,Merano 2000,Steel,Sit Down,Operating,2006-01-01
Alpine Bob,Happy Land Adventure,Steel,Sit Down,Operating,2016-01-01
Alpine Bobsled,Great Escape,Steel,Bobsled,Operating,1998-01-01
Alpine Coaster,Imster Bergbahnen,Steel,Sit Down,Operating,2003-01-01
Alpine-Coaster,Golm,Steel,Sit Down,Operating,2008-01-01
Alpine Coaster,Wurbauer Kogel,Steel,Sit Down,Operating,2003-01-01
Alpine Coaster,Parc des Combes,Steel,Sit Down,Operating,2007-01-01
Alpine Coaster,Kolbensattel,Steel,Sit Down,Operating,2013-01-01
Alpine Coaster,Terme di Boario,Steel,Sit Down,Operating,2009-01-01
Alpine Coaster,Alpyland Mottarone,Steel,Sit Down,Operating,2010-01-01
Alpine Coaster,Ski Center Latemar - Obereggen,Steel,Sit Down,Operating,2006-01-01
Alpine Coaster,Alpensia,Steel,Sit Down,Operating,2008-01-01
Alpine Coaster,Kalitos Kalnas,Steel,Sit Down,Operating,2009-01-01
Alpine Coaster,SnowWorld,Steel,Sit Down,Operating,2012-01-01
Alpine Coaster,Kolorowa,Steel,Sit Down,Operating,2001-01-01
Alpine Coaster,Rodzinny Park Rozrywki Esplanada,Steel,Sit Down,Operating,2010-01-01
Alpine Coaster,Pena Aventura Park,Steel,Sit Down,Operating,2014-01-01
Alpine Coaster,Glacier 3000,Steel,Sit Down,Operating,2006-01-01
Alpine Coaster,Glenwood Caverns Adventure Park,Steel,Sit Down,Operating,2005-01-01
Alpine Coaster,Smoky Mountain Alpine Coaster,Steel,Sit Down,Operating,2013-01-01
Alpine Coaster,Datanla Waterfall Park,Steel,Sit Down,Operating,2006-01-01
Alpine Coaster,Stoke Ski Centre,Steel,Sit Down,,2003-01-01
Alpine Coaster,Sunnyland Sarajevo,Steel,Sit Down,Operating,2016-01-01
Alpine Coaster,VinWonders,Steel,Sit Down,Operating,2012-01-01
Alpine Coaster,Hồ Mây Park,Steel,Sit Down,Operating,2010-01-01
Alpine Coaster,Ski complex Mazyr,Steel,Sit Down,Operating,2006-01-01
Alpine Coaster,Hongluo Temple,Steel,Sit Down,Operating,2001-01-01
Alpine Coaster,Vizantiapark,Steel,Sit Down,Operating,2011-01-01
Alpine Coaster,Jindian Park,Steel,Sit Down,Operating,1999-01-01
Alpine Coaster,Khu du dịch Núi Bà Đen,Steel,Sit Down,Operating,2017-01-01
Alpine Coaster,Bardonecchia Alpine Coaster,Steel,Sit Down,Operating,2019-01-01
Alpine-Coaster-Bahn,Gelenau,Steel,Sit Down,Operating,2000-01-01
Alpine Coaster Dittrichshütte,Kinder- und Jugenderholung Dittrichshütte,Steel,Sit Down,SBNO,2000-01-01
Alpine Dips,Sanatoga Park,Wood,Sit Down,,1921-01-01
Alpine Hills,Children's Park,Steel,Sit Down,Operating,2007-01-01
Alpine Mountain Coaster,Mountain Creek Waterpark,Steel,Sit Down,Operating,2011-01-01
Alpine Racer,Playland at the Beach,Wood,Sit Down,,1959-01-01
Alpine Racer,Namsskogan Familiepark,Steel,Sit Down,Operating,2002-01-01
Alpine Roadway,Rabkoland,Steel,Sit Down,,2004-01-01
Alpine Roadway,Delmar Garden,Wood,Sit Down,,1909-01-01
Alpine Scenic Railway,Lotus Isle Park,Wood,Sit Down,,1930-01-01
Alps,Six Gun Territory,Wood,Sit Down,,1905-01-01
Alpsee Coaster,Alpsee Bergwelt,Steel,Sit Down,Operating,2006-01-01
Altair,Cinecittà World,Steel,Sit Down,Operating,2014-01-01
Altin Madeni Coaster,Wonderland Eurasia,Steel,Sit Down,SBNO,2019-01-01
AltmühlBOB,AltmühlBOB,Steel,Sit Down,Operating,1999-01-01
Alton Mouse,Alton Towers,Steel,Sit Down,Relocated,1988-01-01
Alucinakis,Terra Mítica,Steel,Sit Down,Operating,2000-01-01
Ameerika Mäed,Rocca al Mare Tivoli,Steel,Sit Down,,1997-01-01
Ameerika Mäed,Liikluslinn,Steel,Sit Down,,2014-01-01
Ameerika Mäed,Liikluslinn,Steel,Sit Down,Under Construction,2021-01-01
American,Dudley Zoological Gardens,Steel,Sit Down,Relocated,2007-01-01
American Coaster,Frontierland Family Theme Park,Steel,Sit Down,,
American Dreier Looping,Indiana Beach,Steel,Sit Down,Under Construction,2021-01-01
American Eagle,Six Flags Great America,Wood,Sit Down,Operating,1981-01-01
