Roller Coaster,Amusement Park,Type,Design,Status,Opened
Alavi Park Sled,Alavi Amusement Park,Steel,Sit Down,Operating,2015
Alexandros,Ta Aidonakia Luna Park,Steel,Sit Down,Operating,2002
Ali Baba Coaster,Gloria's Fantasyland,Steel,Sit Down,Operating,2009
Alien,Fun Park Biograd,Steel,Sit Down,Operating,2017
Alien Taxi,Trans Studio Cibubur,Steel,Sit Down,Operating,2019
All American Coaster,Brookhaven Exchange Club Park,Steel,Sit Down,Operating,1971
Allgäu Coaster,Das Höchste,Steel,Sit Down,Operating,2005
All Speeds,Sunac Land Chengdu,Steel,Sit Down,Under Construction,2021
Allwetterbobbahn,WurzelRudi's ErlebnisWelt,Steel,Sit Down,Operating,2000
Alma Qurdu,Gancland Park,Steel,Sit Down,Operating,2015
Alpbachtaler Lauser Sauser,Ski Juwel Alpbachtal Wildschönau,Steel,Sit Down,Operating,2017
Alpebanen,Tivoli Karolinelund,Steel,Sit Down,,1953
Alpenblitz,Bobbejaanland,Steel,Sit Down,,1979
Alpen Blitz,Parque de la Ciudad,Steel,Sit Down,,1983
Alpen Blitz,Six Flags Great Adventure,Steel,Sit Down,,1976
Alpen Blitz,Playcenter São Paulo,Steel,Sit Down,,1989
Alpenblitz,Movie Park Germany,Steel,Sit Down,,1986
Alpenblitz,Gorky Park,Steel,Sit Down,,
Alpen Blitz,Queens Land,Steel,Sit Down,Operating,2007
Alpen Blitz,Funland Park,Steel,Sit Down,,980s
Alpen Blizzard,Alpen Park,Steel,Sit Down,Operating,2012
Alpen-Coaster,Safariland Stukenbrock,Steel,Sit Down,,
Alpen Express,Hòn Dáu Resort,Steel,Sit Down,Operating,2013
Alpenexpress Enzian,Europa Park,Steel,Sit Down,Operating,1984
Alpengeist,Busch Gardens Williamsburg,Steel,Inverted,Operating,1997
Alpenroller,Schliersbergalm,Steel,Sit Down,Operating,
Alpesibob,Visegrádi Bobpálya,Steel,Sit Down,Operating,2002
Alpha 8,Escape Theme Park,Steel,Sit Down,,
Alpina Blitz,Nigloland,Steel,Sit Down,Operating,2014
Alpina Bobs,Holly Park,Steel,Sit Down,,2001
Alpin Bob,Merano 2000,Steel,Sit Down,Operating,2006
Alpine Bob,Happy Land Adventure,Steel,Sit Down,Operating,2016
Alpine Bobsled,Great Escape,Steel,Bobsled,Operating,1998
Alpine Coaster,Imster Bergbahnen,Steel,Sit Down,Operating,2003
Alpine-Coaster,Golm,Steel,Sit Down,Operating,2008
Alpine Coaster,Wurbauer Kogel,Steel,Sit Down,Operating,2003
Alpine Coaster,Parc des Combes,Steel,Sit Down,Operating,2007
Alpine Coaster,Kolbensattel,Steel,Sit Down,Operating,2013
Alpine Coaster,Terme di Boario,Steel,Sit Down,Operating,2009
Alpine Coaster,Alpyland Mottarone,Steel,Sit Down,Operating,2010
Alpine Coaster,Ski Center Latemar - Obereggen,Steel,Sit Down,Operating,2006
Alpine Coaster,Alpensia,Steel,Sit Down,Operating,2008
Alpine Coaster,Kalitos Kalnas,Steel,Sit Down,Operating,2009
Alpine Coaster,SnowWorld,Steel,Sit Down,Operating,2012
Alpine Coaster,Kolorowa,Steel,Sit Down,Operating,2001
Alpine Coaster,Rodzinny Park Rozrywki Esplanada,Steel,Sit Down,Operating,2010
