Roller Coaster,Amusement Park,Type,Design,Status,Opened
Green Worm Coaster,Xinghua Park,Steel,Sit Down,Operating,2009
Green Worm Coaster,Foreigner Street,Steel,Sit Down,Relocated,2014
Green Worm Coaster,Foreigner Street,Steel,Sit Down,,2017
Green Worm Coaster,Culture Park,Steel,Sit Down,Operating,2018
Greezed Lightnin',Six Flags AstroWorld,Steel,Sit Down,Relocated,1978
Greezed Lightnin',Kentucky Kingdom,Steel,Sit Down,,2003
Grey Fox,Spanish Fort,Wood,Sit Down,,
Greyhound,Lakewood Park,Wood,Sit Down,,1915
Greyhound,Coney Island,Wood,Sit Down,,1929
Greyhound,West View Park,Wood,Sit Down,,1917
Greyhound,Island Beach Park,Wood,Sit Down,,1922
Greyhound,Bay Beach Amusement Park,Wood,Sit Down,,1929
Greyhound,Celoron Park,Wood,Sit Down,,1924
Greyhound,Stanley Park,Wood,Sit Down,,
Greyhound,Six Flags New England,Wood,Sit Down,,1915
Greyhound,Hazle Park,Wood,Sit Down,,1923
Greyhound,Seabreeze,Wood,Sit Down,,1916
Greyhound,Walnut Beach Park,Wood,Sit Down,,1923
Greyhound,Columbia Park,Wood,Sit Down,,1921
Griffiths Scenic Railway,Seaside Park,Wood,Sit Down,,1900
Griffith's Scenic Railway,Greater America Exposition,Wood,Sit Down,,1898
Griffon,Busch Gardens Williamsburg,Steel,Sit Down,Operating,2007
Grisú - o Dragão,Bracalândia,Steel,Sit Down,,
Grizzly,California's Great America,Wood,Sit Down,Operating,1986
Grizzly,Kings Dominion,Wood,Sit Down,Operating,1982
Grizzly,Kongeparken,Steel,Sit Down,Relocated,2004
Grizzly Bear,Lightwater Valley,Steel,Sit Down,Relocated,2004
Groovy Train,America's Fun Park,Steel,Sit Down,,2018
Grosse Pomme,Babyland-Amiland,Steel,Sit Down,Operating,2010
Grottenblitz,Heide Park Resort,Steel,Sit Down,Operating,1985
Grover's Alpine Express,Busch Gardens Williamsburg,Steel,Sit Down,Operating,2009
Grünbergflitzer,Grünbergflitzer Gmunden,Steel,Sit Down,Operating,2014
Gruvbanan,Skara Sommarland,Steel,Sit Down,Operating,1987
G'sengte Sau,Erlebnispark Tripsdrill,Steel,Sit Down,Operating,1998
Guardians of the Galaxy : Cosmic Rewind,Walt Disney World - Epcot,Steel,Sit Down,Under Construction,2022
Guayakill Ride,Safari Extreme,Steel,Sit Down,Operating,2018
Gulf Coaster,Six Flags Great America,Steel,Sit Down,,1976
Gulf Coaster,California's Great America,Steel,Sit Down,,1976
Gusanito,Chicolandia,Steel,Sit Down,Operating,2003
Gusanito,Coney Park,Steel,Sit Down,Operating,2004
Gusanito,Diverticenter,Steel,Sit Down,Operating,2011
Gusanito,Coney Park,Steel,Sit Down,Relocated,2008
Gusanito,Unipark,Steel,Sit Down,Operating,2012
Gusanito,Premier Park,Steel,Sit Down,Operating,2013
Gusanito,Novapark,Steel,Sit Down,Operating,2012
Gusanito,Parque Zonal Huayna Cápac,Steel,Sit Down,Operating,2011
Gusanito,Rancho Aventura Park,Steel,Sit Down,Operating,2009
Gusanito,Diverticenter,Steel,Sit Down,Operating,2009
Gusanito,Coney Park,Steel,Sit Down,,2010
Gusanito,Parque Bimbolandia,Steel,Sit Down,Operating,2002
Gusanito,Parque de Diversiones Quiqueland,Steel,Sit Down,Operating,000s
Gusanito,City Park,Steel,Sit Down,Operating,2013
Gusanito,City Park,Steel,Sit Down,Operating,2013
Gusanito,Tierra Diversión,Steel,Sit Down,,2014
Gusanito,Parque Zoológico Huachipa,Steel,Sit Down,Operating,2009
Gusanito,Parque Xochipilli,Steel,Sit Down,Operating,2010
Gusanito,Parque Los Valentinos,Steel,Sit Down,Operating,2018
Gusanito,Bimbolandia Park,Steel,Sit Down,Operating,2012
Gusanito,Coney Park,Steel,Sit Down,,2017
Gusanito,City Games,Steel,Sit Down,Operating,2015
Gusanito,Dito Park,Steel,Sit Down,Operating,2018
Gusanito de Esquilandia,Esquilandia,Steel,Sit Down,Operating,2012
Gusanito de Fantasiland,Fantasiland,Steel,Sit Down,,2002
Gusanito Manzana,Rincón de los Niños,Steel,Sit Down,Operating,2000
Gusanito Manzana,International Park,Steel,Sit Down,SBNO,2008
Gusano,Parque Italo Americano,Steel,Sit Down,Operating,
Gusano,Lunapark,Steel,Sit Down,,
Gusano,Parque Bicentenario,Steel,Sit Down,Operating,2009
Gusano,Interpark,Steel,Sit Down,,2005
Gusano,Diverland,Steel,Sit Down,Operating,2012
Gusano Loco,Salitre Magico,Steel,Sit Down,Operating,2001
Gusano Loco,Mundo Divertido,Steel,Sit Down,Relocated,1998
Gusano Loco,Mundo Divertido,Steel,Sit Down,Operating,2005
Gusano Manzana,Super Park,Steel,Sit Down,Operating,2017
Gusenitsa,Park Yulya,Steel,Sit Down,Relocated,2003
Gusenitsa,Luna Park Happyland,Steel,Sit Down,,2003
Gusenitsa,PKiO imeni Gagarina,Steel,Sit Down,Operating,2012
Gusenitsa,Children's Park,Steel,Sit Down,Operating,2010
Gusenitsa,Lokomotiv Park,Steel,Sit Down,Operating,2014
Gusi,Parque Borunda,Steel,Sit Down,Operating,2003
Gussy,Parque Del Refugio,Steel,Sit Down,,2011
Guzet Express,Guzet,Steel,Sit Down,Operating,2018
Gwazi,Busch Gardens Tampa,Wood,Sit Down,,1999
Gwazi,Lion Park Resort,Steel,Sit Down,Operating,2011
Gyldenklo,Bjørneparken Wildlife Zoo,Steel,Sit Down,Operating,2017
Hades 360,Mt. Olympus Water & Theme Park,Wood,Sit Down,Operating,2005
Hagrid's Magical Creatures Motorbike Adventure,Universal Studios Islands of Adventure,Steel,Sit Down,Operating,2019
Haha Roller Coaster,XinYi Square,Steel,Sit Down,Operating,2012
Hair Raiser,Ocean Park,Steel,Sit Down,Operating,2011
Hakugei,Nagashima Spa Land,Steel,Sit Down,Operating,2019
Half Pipe,Särkänniemi Amusement Park,Steel,Sit Down,,2003
Half Pipe,Elitch Gardens,Steel,Sit Down,Operating,2004
Half Pipe,Don Quijote,Steel,Sit Down,,
Half Pipe,Chimelong Paradise,Steel,Sit Down,Operating,2006
Halilintar,Dunia Fantasi,Steel,Sit Down,Operating,1987
Halilintar,Kota Fantasi,Steel,Sit Down,Relocated,2004
Hals-über-Kopf,Erlebnispark Tripsdrill,Steel,Inverted,Operating,2020
Halvar,Plopsa Coo,Steel,Sit Down,Operating,1989
Hand Roller Coaster,Harbin Cultural Park,Steel,Inverted,,2009
Hanging Pulley,Fantawild Adventure,Steel,Suspended,Operating,2007
Hanging Pulley,Fantawild Adventure,Steel,Suspended,Operating,2010
Hanging Pully,Dream Land,Steel,Suspended,Operating,2014
Hanging Roller Coaster,Carde Happy World,Steel,Inverted,Operating,2014
Hanging Roller Coaster,Qinling Happy World,Steel,Suspended,Operating,2009
Hanging Roller Coaster,Crab Island Resort,Steel,Inverted,,2011
Hanging Roller Coaster,Shenlong Valley Playground,Steel,Inverted,Operating,2016
Hanging Roller Coaster,Liupan Fun Land,Steel,Inverted,Operating,2018
Hanging Roller Coaster,Great Xingdong Tourist World,Steel,Inverted,Operating,2018
Hangman,Opryland USA,Steel,Inverted,Relocated,1995
HangOver,Liseberg,Steel,Inverted,Relocated,1997
Hang Ten,Freestyle Music Park,Steel,Sit Down,Relocated,2008
Hang Ten,Fantasy Island Amusement Park,Steel,Sit Down,Operating,2017
HangTime,Knott's Berry Farm,Steel,Sit Down,Operating,2018
Han-Katten,BonBon-Land,Steel,Sit Down,Operating,2007
Hanoi Steel Dragon,HoTay Theme Park,Steel,Sit Down,Operating,2006
Happy Angel,Harbin Sunac Land,Steel,Inverted,Operating,2017
Happy Caterpillar,South Parade Pier,Steel,Sit Down,Operating,2020
Happy Caterpiller,Dreamland,Steel,Sit Down,Relocated,2016
Happy Caterpiller,Funder Park,Steel,Sit Down,,2015
Happy Caterpiller,South Pier,Steel,Sit Down,Relocated,2017
Happy Caterpiller,Clarence Pier,Steel,Sit Down,Relocated,2018
Happy Caterpiller,South Parade Pier,Steel,Sit Down,,2019
Happy Chew Chew Train,Lewa Adventure,Steel,Sit Down,Operating,2015
Happy Coaster,Yerevan Park,Steel,Sit Down,Operating,2021
Happy Family Coaster,Speelpark Oud Valkeveen,Steel,Sit Down,,2005
Happy Family Roller Coaster,Happy Magic Mountain,Steel,Sit Down,,2009
Happy Gater,Coney Beach Pleasure Park,Steel,Sit Down,Relocated,1989
Happy Gliding Dragon,Ocean Park,Steel,Sit Down,Operating,2018
Happy Hills,Istiqlol Bolalar Bog’i,Steel,Sit Down,Operating,2016
Happy Journey Cars,Sun Park,Steel,Sit Down,Operating,2017
Happy Jungle Flying Saucers,People's Park,Steel,Sit Down,Operating,2019
Happy Loops,Energylandia,Steel,Sit Down,Operating,2017
Happy Mountain,Terra Encantada,Steel,Sit Down,,2001
Happy Mountain,Mampato,Steel,Sit Down,Operating,2006
Happy Mountain,Playcenter São Paulo,Steel,Sit Down,,2005
Happy Mountain,Nova Nicolândi,Steel,Sit Down,Operating,2005
Happy Mountain,Playcity,Steel,Sit Down,,
Happy Racing Boat,Aoyun Fuwa Paradise,Steel,Sit Down,,2008
Happy Roller Coaster,White Sand Gate Park,Steel,Sit Down,Operating,2019
Happy Train,Gldani Park,Steel,Sit Down,Operating,2007
Happy Train,Galaxy Park,Steel,Sit Down,Operating,2013
Happy Trip,Amazing World,Steel,Sit Down,,2008
Hare and Tortoise Roller Coaster,Enjoy Animal Kingdom,Steel,Sit Down,Operating,2020
Harley,Tsentralnyy Park,Steel,Sit Down,,2004
Harley Quinn Crazy Coaster,Six Flags Discovery Kingdom,Steel,Sit Down,Operating,2018
Harley Quinn Crazy Train,Six Flags Great Adventure,Steel,Sit Down,Operating,1999
Harpy,Xishuangbanna Sunac Land,Steel,Flying,SBNO,2015
Harry Potter and the Escape from Gringotts,Universal Studios Florida,Steel,Sit Down,Operating,2014
Harvest Express Coaster,Nut Tree Park,Steel,Sit Down,Relocated,2006
Harvest Time,Happy Valley,Steel,Sit Down,,2006
Harvest Time,Jungleland,Steel,Sit Down,Operating,2013
Harzbob,Erlebniswelt Seilbahnen Thale,Steel,Sit Down,Operating,2000
Hasenhorn Coaster,Hasenhorn Rodelbahn,Steel,Sit Down,Operating,2004
Haunted Roller Coaster,Laugh Out Loud Stations,Steel,Sit Down,Relocated,1996
Hayabusa,Tokyo SummerLand,Steel,Suspended,,1992
Head Spin,Geauga Lake & Wildwater Kingdom,Steel,Sit Down,Relocated,1996
Heart of Angels,Fuhua Amusement Park,Steel,Sit Down,Operating,2020
Heaven on Earth,Xixiakou China,Steel,Inverted,,2006
Heaven Roller Coaster,Mae Fung Water Park,Steel,Sit Down,Operating,2019
Heaven's Wing,HB World,Steel,Wing,Operating,2018
Heidi The Ride,Plopsaland De Panne,Wood,Sit Down,Operating,2017
Heiße Fahrt,Wild- und Freizeitpark Klotten/Cochem,Steel,Sit Down,Operating,2004
Helix,Liseberg,Steel,Sit Down,Operating,2014
Hell Cat,Clementon Park,Wood,Sit Down,Operating,2004
Hello Kitty Angel Coaster,Harmonyland,Steel,Sit Down,Operating,2004
Hello Kitty Angel Coaster,Lina World,Steel,Sit Down,Operating,
Hells Angels,Casino Pier,Steel,Sit Down,,1968
Hercules,Dorney Park & Wildwater Kingdom,Wood,Sit Down,,1989
Herkules,Familypark,Steel,Sit Down,Operating,2015
Herky & Timmy's Racing Coaster,Everland,Steel,Sit Down,Operating,2005
Hero,Flamingo Land,Steel,Flying,Operating,2013
HerrlohBlitz,Skiliftkarussell Winterberg,Steel,Sit Down,Operating,2019
Hexenbesen,Erlebniswelt Seilbahnen Thale,Steel,Flying,Operating,2003
Hexenbesen,Ski- und Rodelarena Wasserkuppe,Steel,Suspended,Operating,2007
Hexenbesen,Erlebnisfelsen Pottenstein,Steel,Suspended,Operating,2018
Hexenexpress,Schöckl Seilbahn,Steel,Sit Down,Operating,2002
Hidden Anaconda,Happy Valley,Steel,Sit Down,Operating,2012
High Altitude Rolling Sliding Coaster,Window of the World,Steel,Sit Down,,1999
Higher Mountain,Jannat Al-Ahlam,Steel,Sit Down,Operating,2001
Higher Mountain,Parc d'Attraction BBA,Steel,Sit Down,Operating,2003
High Frolics,Cedar Point,Wood,Sit Down,,1918
High Hazel Mini Mine Coaster,Wheelgate Adventure Park,Steel,Sit Down,Operating,2004
High Roller,Valleyfair!,Wood,Sit Down,Operating,1976
High Roller,Stratosphere Tower,Steel,Sit Down,,1996
High Roller,Recreation Park,Steel,Sit Down,,
High Speed Car Slide,Công viên Phù Đổng,Steel,Sit Down,,2002
High Speed Dragon,Unified Park,Steel,Sit Down,Operating,2011
High Speed Dragon,29-3 Park,Steel,Sit Down,Operating,2012
Highspeed Glider,Yuexiu Park,Steel,Sit Down,,1981
High Speed Javelin,Children's Cultural Palace,Steel,Sit Down,Under Construction,2020
High Speed Roller Coaster,Suôí Tiên Park,Steel,Sit Down,Operating,2000
High Speed Roller Coaster,Khu vui chơi giải trí Suối Cát,Steel,Sit Down,,2009
High Speed Round Trip,Bao Son Paradise Park,Steel,Sit Down,Operating,2019
High Speed Thrill Coaster,Knoebels Amusement Resort,Steel,Sit Down,,1955
Highway Boat,Sun World Danang Wonders,Steel,Suspended,,
Highway Boat,Sun World Danang Wonders,Steel,Inverted,Operating,2019
Highway Coaster,Japan Monkey Park,Steel,Sit Down,Operating,1997
Hili Mouse,Hili Fun City,Steel,Sit Down,,2002
Hill Billy Coaster Texas Bronco,Tojoko Toy Kingdom,Steel,Sit Down,Operating,1987
Hillside Roller Coaster,Chaai Khao Coffee,Steel,Sit Down,Operating,2021
Hilly-Billy-Race,Tier- und Freizeitpark Thüle,Steel,Sit Down,Operating,2017
Himalaia,Sommerland Syd,Steel,Sit Down,Relocated,2012
Himalaya,Luneur Park,Steel,Sit Down,,1968
Himalaya,Parc d'Attractions d'Alger,Steel,Sit Down,,2006
Himalaya,Adhari Park,Steel,Sit Down,Operating,2006
Himalaya,Lunapark,Wood,Sit Down,,1938
Himalaya,Legendia Śląskie Wesołe Miasteczko,Steel,Sit Down,Relocated,2015
Himalayabahn,Schwaben Park,Steel,Sit Down,Relocated,1989
Himalaya Coaster,Miroku no Sato,Steel,Sit Down,Operating,1989
Himalaya Coaster,Hiroshi Seto Ohashi '88,Steel,Sit Down,Relocated,1988
Himalaya Railway,Tower Grounds,Wood,Sit Down,,1898
Hi-Miler,Playland at the Beach,Steel,Sit Down,,1971
Himmelexpress,Rømø Lege- & Hesteland,Steel,Sit Down,SBNO,1988
Himmelexpress,Rømø Lege- & Hesteland,Steel,Sit Down,SBNO,1988
Hip Hop Coaster,Etnaland,Steel,Sit Down,Operating,2013
Hiruzen Coaster,Hiruzen Kogen Center · Joyful Park,Steel,Sit Down,Operating,1989
Hochbahn,Wiener Prater,Steel,Sit Down,,1979
Hochbahn,Wiener Prater,Steel,Sit Down,,1966
Hochbahn,Wiener Prater,Wood,Sit Down,,
Hochschaubahn,Wiener Prater,Wood,Sit Down,Operating,1950
Hochschaubahn,Wiener Prater,Wood,Sit Down,,1909
Höllenblitz,Wiener Prater,Steel,Sit Down,Relocated,2017
Höllenblitz,Serengeti Park,Steel,Sit Down,Operating,2019
Höllen Coaster,FamilienFreizeit Edelwies,Steel,Sit Down,Operating,2015
Holly's Wilde Autofahrt,Holiday Park,Steel,Sit Down,Relocated,2010
Hollywood Dream: The Ride,Universal Studios Japan,Steel,Sit Down,Operating,2007
Hollywood Rip Ride Rockit,Universal Studios Florida,Steel,Sit Down,Operating,2009
Holta Di Polta,Rasti-Land,Steel,Sit Down,Operating,2019
Holzwurmachterbahn,Jaderpark,Steel,Sit Down,Operating,1996
Hoola Loop,EsselWorld,Steel,Sit Down,Operating,2007
Hoosier Hurricane,Indiana Beach,Wood,Sit Down,Operating,1994
Hoot N Holler,Six Flags Darien Lake,Steel,Sit Down,Operating,1981
Hornet,Flambards Village Theme Park,Steel,Sit Down,Operating,1995
Hornet,Wonderland Amusement Park,Steel,Sit Down,Operating,2009
Horror Express,Starlight Express,Steel,Sit Down,,1987
Horse Roller Coaster,Lewa Adventure,Steel,Sit Down,Operating,2015
Horská Bobová Dráha,Bobovka Lipno,Steel,Sit Down,Operating,2016
Horská Dráha,Lunapark,Steel,Sit Down,,1973
Horská Dráha,Bratislavský Lunapark,Steel,Sit Down,,
Hot Tamales,Casino Pier,Steel,Sit Down,Operating,2003
Hot Wheels,People's Park,Steel,Sit Down,Operating,2019
Hot Wheels,Mattel Adventure Park,Steel,Sit Down,Under Construction,2022
Hot Wheels Nitro,Imagicaa,Steel,Sit Down,Operating,2013
Hoverla,Pushkin Park,Steel,Sit Down,,2005
Hoverla,Mis'kyi Park,Steel,Sit Down,Operating,2012
Hoverla,Oktyabrskiy Park,Steel,Sit Down,Operating,2011
Hoverla,Central Park,Steel,Sit Down,Operating,2009
Howler,Holiday World,Steel,Sit Down,Operating,1999
Hua-Wiecoaster,Huashan Scenic Spot,Steel,Sit Down,Operating,2016
Huge Dragon Roller Coaster,Cangzhou Zoo,Steel,Sit Down,Operating,2017
Huit Volant,Exposition Universelle Bruxelles 1910,Wood,Sit Down,,1910
Hullámvasút,Holnemvolt Park,Wood,Sit Down,SBNO,1926
Humlebien,Fårup Sommerland,Steel,Sit Down,,1999
Hummel Brummel,Schwaben Park,Steel,Suspended,Operating,2020
Hummer,Craig Beach Park,Wood,Sit Down,,1929
Hummer,Woodside Park,Wood,Sit Down,,1950
Humming Bird,Riverview Beach Park,Wood,Sit Down,,1923
Hummingbird,Waukesha Beach,Wood,Sit Down,,1924
Humpty Dumpty's Great Fall,Storybook Land,Steel,Sit Down,Operating,2015
Hundeprutten,BonBon-Land,Steel,Sit Down,Operating,1993
Huracan,Perimágico,Steel,Sit Down,Operating,1995
Huracán,Parque Diversiones,Steel,Sit Down,,1993
Huracan,Belantis,Steel,Sit Down,Operating,2010
Huracan,Bellewaerde Park,Steel,Sit Down,Operating,2013
Huracán,Ventura Park,Steel,Sit Down,Operating,2016
Huracanito,Belantis,Steel,Sit Down,Operating,2014
Hurlarama,Prehistoric Park,Steel,Sit Down,,1994
Hurler,Carowinds,Wood,Sit Down,Operating,1994
Hurler,Kings Dominion,Wood,Sit Down,,1994
Hurricane,Santa Cruz Beach Boardwalk,Steel,Sit Down,Relocated,1992
Hurricane,Playland Park,Steel,Sit Down,Relocated,1995
Hurricane,Adventureland,Steel,Sit Down,Relocated,1991
Hurricane,Myrtle Beach Pavilion,Wood,Sit Down,,2000
Hurricane,Rusutsu Resort,Steel,Inverted,Operating,1995
Hurricane,E-World,Steel,Sit Down,Operating,1995
Hurricane,Center Norte,Steel,Sit Down,,2000
Hurricane,Ocean Playland,Wood,Sit Down,,1965
Hurricane,Himeji Central Park,Steel,Sit Down,Operating,2007
Hurricane,Western Playland,Steel,Sit Down,Operating,2013
Hurricane,Race City PCB,Steel,Sit Down,Operating,2015
Hurricane,Fun Spot America,Steel,Sit Down,Operating,2019
Hurricane Coaster,Sendai Highland,Steel,Sit Down,,1990
Hurricane Roller Coaster,Suzhou Amusement Land Forest World,Steel,Sit Down,Under Construction,2021
HurryCane Roller Coaster,Riverview Park & Waterworld,Steel,Sit Down,,1984
Hurry Coaster,Kobe Fruit and Flower Park,Steel,Sit Down,Operating,2000
Hvin & Hyl Rutsch,BonBon-Land,Steel,Sit Down,,1993
Hydra Fighter II,Wet 'n Wild Emerald Pointe,Steel,Suspended,,2001
Hydra the Revenge,Dorney Park & Wildwater Kingdom,Steel,Sit Down,Operating,2005
Hydraulic Dive,Glen Echo Park,Wood,Sit Down,,1907
Hydro Racer,Xishuangbanna Sunac Land,Steel,Sit Down,SBNO,2015
Hydrus,Casino Pier,Steel,Sit Down,Operating,2017
Hype,Särkänniemi Amusement Park,Steel,Sit Down,Operating,2017
Hyper Coaster,Land of Legends Theme Park,Steel,Sit Down,Operating,2018
Hyperion,Energylandia,Steel,Sit Down,Operating,2018
Hyper Kid Coaster,Fantasy Dome,Steel,Sit Down,SBNO,2000
HyperSonic XLC,Kings Dominion,Steel,Sit Down,,2001
Hyperspace Mountain,Hong Kong Disneyland,Steel,Sit Down,Operating,2005
Iceberg Coaster,Story Land,Steel,Sit Down,,1975
Ice Breaker,SeaWorld Orlando,Steel,Sit Down,Under Construction,2021
Iceland Roller Coaster,Foton World,Steel,Sit Down,,1999
Ice Mountain,Fantasy Island,Steel,Sit Down,,2018
Ice Mountain Bobsled,Enchanted Forest,Steel,Sit Down,Operating,1983
Icon,Blackpool Pleasure Beach,Steel,Sit Down,Operating,2018
Idän Pikajuna,Tykkimäki,Steel,Sit Down,Operating,1989
Il Bruco Magico,Mirabilandia,Steel,Sit Down,,1998
Il Tempo Extra Gigante,Hunderfossen Familiepark,Steel,Sit Down,Operating,2014
Il Treno Delle Miniere,Parco Lido,Steel,Sit Down,,2006
Imomura,Sayama Park,Steel,Sit Down,,1990
Imomushi-Kun,Miroku no Sato,Steel,Sit Down,Operating,2006
Imoogi,Le Fleury,Steel,Sit Down,Operating,2016
Imorinth,Himeji Central Park,Steel,Sit Down,Operating,1998
Impulse,Knoebels Amusement Resort,Steel,Sit Down,Operating,2015
Inch Worm,Petticoat Junction,Steel,Sit Down,,1983
Incredible Express,John's Incredible Pizza Company,Steel,Sit Down,Relocated,2007
Incredible Express,John's Incredible Pizza Company,Steel,Sit Down,Relocated,2007
Incredible Express,Tom Foolerys Adventure Park,Steel,Sit Down,,2017
Incredible Hulk,Universal Studios Islands of Adventure,Steel,Sit Down,Operating,1999
Incredible Spin Coaster,St. Louis's Incredible Pizza Company,Steel,Sit Down,Operating,2016
Incredible Spinning Roller Coaster,Incredible Pizza Company,Steel,Sit Down,Operating,2015
Incredicoaster,Disney California Adventure Park,Steel,Sit Down,Operating,2001
Indiana Jones,Mc-Play Kinderland,Steel,Sit Down,,2006
Indiana Jones et le Temple du Péril,Disneyland Paris - Disneyland Park,Steel,Sit Down,Operating,1993
Indianapolis,Cosmic,Steel,Sit Down,,2013
Indianapolis,Toy Park,Steel,Sit Down,Operating,2005
Indianapolis,Funny Park,Steel,Sit Down,Operating,2018
Indianapolis,Detskiy Gorodok,Steel,Sit Down,Operating,2016
Indy-Blitz,Heide Park Resort,Steel,Sit Down,Operating,2008
Inertia Airplane Car,Kaeson Youth Park,Steel,Flying,Operating,2010
Inertia Car,Daguan Park,Steel,Sit Down,,2001
Inertia Coaster,Jin Jiang Action Park,Steel,Sit Down,,2003
Inertia Pulley,Zhongshan Park,Steel,Sit Down,,2001
Inertia Roller Coaster,Gongqing Forest Park,Steel,Sit Down,,2004
Inertia Roller Coaster,Gongqing Forest Park,Steel,Sit Down,Operating,2014
Inertia Train,Zhongshan Park,Steel,Sit Down,Relocated,2003
Inertia Train,Zhongshan Park,Steel,Sit Down,Operating,2014
Inferno,Terra Mítica,Steel,Wing,Operating,2007
Inferno,Cinecittà World,Steel,Sit Down,Operating,2014
Inferno Mountain Coaster,Purgatory Resort,Steel,Sit Down,Operating,2018
Infinity Ride,Tekzone,Steel,Sit Down,Operating,2018
Inflaming Beatles,HB World,Steel,Sit Down,Operating,2018
Infusion,Blackpool Pleasure Beach,Steel,Inverted,Operating,2007
Ingersol Toboggan Railroad,Pacific Ocean Park,Wood,Sit Down,,1904
Innovative Roller Coaster,Innovative Film City,Steel,Sit Down,,2009
Insane,Gröna Lund,Steel,Wing,Operating,2009
Insane Speed,Janfusun Fancyworld,Steel,Sit Down,Operating,2001
Inselrodelbahn Bergen,Inselrodelbahn Bergen,Steel,Sit Down,Operating,2005
Insider,Wiener Prater,Steel,Sit Down,Operating,2013
Insomnio,Kataplum,Steel,Suspended,Operating,2018
In the Woods Flying Mouse,Wuhan Zhongshan Park,Steel,Sit Down,Operating,2007
In the Woods Flying Mouse,Quanlin Resort,Steel,Sit Down,,2008
Intimidator,Carowinds,Steel,Sit Down,Operating,2010
Intimidator 305,Kings Dominion,Steel,Sit Down,Operating,2010
Intrépide,Pays des Merveilles,Steel,Sit Down,Operating,2019
InvadR,Busch Gardens Williamsburg,Wood,Sit Down,Operating,2017
Inversa,Ácqua Lokos,Steel,Inverted,Operating,2014
Invertigo,California's Great America,Steel,Inverted,Relocated,1998
Invertigo,Kings Island,Steel,Inverted,Operating,1999
Invincible Whirlwind,Lotus World,Steel,Sit Down,Operating,2018
Ipanema Skate Ride,VinWonders,Steel,Sit Down,Operating,2020
Iron Dragon,Cedar Point,Steel,Suspended,Operating,1987
Iron Gwazi,Busch Gardens Tampa,Steel,Sit Down,Under Construction,2021
Iron Horse,Freestyle Music Park,Steel,Sit Down,Relocated,2008
Iron Rattler,Six Flags Fiesta Texas,Steel,Sit Down,Operating,2013
Iron Shark,Galveston Island Historic Pleasure Pier,Steel,Sit Down,Operating,2012
Iron Wolf,Six Flags Great America,Steel,Sit Down,Relocated,1990
Island Flyer,Island Park,Wood,Sit Down,,1925
Island Roller Coaster,Seven Islands Resort,Wood,Sit Down,,1891
iSpeed,Mirabilandia,Steel,Sit Down,Operating,2009
Italian Bobs,Adventure Land,Steel,Sit Down,,1970
Italian Double Loop Coaster,Ajwa Fun World & Resort,Steel,Sit Down,Operating,1997
Italian Roller Coaster,Great Escape,Steel,Sit Down,,1971
iT'Z Express,iT'Z Family Food & Fun,Steel,Sit Down,Relocated,2007
Jabbar's Rollin' Adventure,99 Village,Steel,Sit Down,Operating,2009
Jacare,Zoo Safári,Steel,Sit Down,,1984
Jack 'n' Jill Scenic,Seabreeze,Wood,Sit Down,,1921
Jack Rabbit,Kennywood,Wood,Sit Down,Operating,1920
Jack Rabbit,Clementon Park,Wood,Sit Down,,1919
Jack Rabbit,Seabreeze,Wood,Sit Down,Operating,1920
Jack Rabbit,Idora Park,Wood,Sit Down,,1914
Jack Rabbit,Willough Beach Park,Wood,Sit Down,,1915
Jack Rabbit,LeSourdsville Lake Amusement Park,Steel,Sit Down,,1955
Jack Rabbit,Rocky Springs Park,Wood,Sit Down,,1918
Jack Rabbit,Riverview Park,Wood,Sit Down,,1915
Jack Rabbit,Revere Beach,Wood,Sit Down,,1916
Jack Rabbit,Celebration City,Steel,Sit Down,Relocated,2003
Jack Rabbit,Midway State Park,Wood,Sit Down,,1924
Jack Rabbit,Riverview Park,Wood,Sit Down,,1914
Jack Rabbit,Carousel Gardens Amusement Park,Steel,Sit Down,,
Jack Rabbit,Paxtang Park,Wood,Sit Down,,1923
Jack Rabbit,Natatorium Park,Wood,Sit Down,,1920
Jack Rabbit,Palace Playland,Wood,Sit Down,,1917
Jack Rabbit,Capital Beach Park,Wood,Sit Down,,1918
Jack Rabbit,Wenona Beach,Wood,Sit Down,,1914
Jack Rabbit,Hague Park,Wood,Sit Down,,1915
Jack Rabbit,Beachland Amusements,Steel,Sit Down,,
Jack Rabbit,Playland Park,Wood,Sit Down,,1928
Jack Rabbit,Luna Park,Wood,Sit Down,,1949
Jack Rabbit,River Park,Wood,Sit Down,,
Jack Rabbit,Bay Beach Amusement Park,Wood,Sit Down,,1901
Jack Rabbit,Keansburg Amusement Park,Wood,Sit Down,,1931
Jack Rabbit,Rockaways' Playland,Wood,Sit Down,,1932
Jack Rabbit,Fairmount Park,Wood,Sit Down,,1915
Jack Rabbit,Point Breeze Park,Wood,Sit Down,,1912
Jack Rabbit,Shellpot Park,Wood,Sit Down,,1916
Jack Rabbit,Conneaut Lake Park,Wood,Sit Down,,1904
Jack Rabbit,Lakeview Amusement Park,Wood,Sit Down,,
Jack Rabbit Racer,Queens Park,Wood,Sit Down,,1915
Jaguar!,Knott's Berry Farm,Steel,Sit Down,Operating,1995
Jaguar,Isla Mágica,Steel,Inverted,Operating,1997
Jammin,Frontierland Family Theme Park,Steel,Sit Down,,
Jamming,Fiabilandia,Steel,Sit Down,,2003
